Unique_member_identifier,Points,Adjustments,POSCineplex,POS,AccountOpenD2D,PacPadD2D,VISACineplex,VISA,VISAAccountOpen,CineplexIssue,CineplexRedeem,AdjustmentBNS,AdjustmentMaritz,AdjustmentCineplex,PointsScene,PointsCatalogOrders,CARAIssue,CARARedeem,AdjustmentCARA,BNSOther,AdjustmentBNSOther,VISAPrePaid,PointsTotal
BC345E55-890E-4ABE-89A6-68CD2F34D1F9,818,0,564,1104,0,0,0,0,0,150,-1000,0,0,0,0,0,0,0,0,0,0,0,0
5B5F3956-838F-40BA-9B81-121E741B1465,400,0,0,0,0,0,0,0,0,150,0,0,0,0,250,0,0,0,0,0,0,0,0
56F4EC36-E0A1-4473-A42C-8F802133828F,267,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,17,0,0,0,0,0,0
1C66D59A-936E-4A84-93E7-AF8FE2F000DA,505,0,0,0,0,0,0,0,0,650,-1000,0,0,0,855,0,0,0,0,0,0,0,0
11C9BDB2-6CB6-457F-9408-7B422DFA6AAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531002FF-EB5C-47BE-AB21-10FE07320839,261,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,11,0,0,0,0,0,0
2483839E-DCD0-4169-9A87-37E4AE9C6C1B,12085,0,88,324,0,2500,0,1004,2000,0,0,0,0,0,169,0,0,0,0,6000,0,0,0
79B8E110-EDE3-4EA4-870D-26016DB2045E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14F11897-9903-4048-A48C-11DAD33C6A18,386,0,73,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31D12CE4-6882-4790-8AFF-AF65E4D46DC2,998,0,78,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75E7E3DC-77FF-4419-9249-A15BDD4322B2,420,0,0,0,0,0,0,0,0,170,0,0,0,0,250,0,0,0,0,0,0,0,0
B4AFBD5C-BCA1-4918-AD81-9994526FA2D9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAE752AD-A144-484A-A5C0-45FEE2B62E70,853,0,0,0,0,0,0,0,0,350,0,0,0,0,500,0,3,0,0,0,0,0,0
9D74C06F-5709-4EA5-843F-41ABA788B293,920,0,0,0,0,0,0,0,0,420,0,0,0,0,500,0,0,0,0,0,0,0,0
C9EECC68-F090-4A70-AB8A-902305684535,912,0,0,0,0,0,0,0,0,400,0,0,0,0,500,0,12,0,0,0,0,0,0
8EBA94C6-E4FD-45D8-A5FE-DC7FDF73670D,255,0,0,0,0,0,0,0,0,840,-1500,0,0,0,867,0,48,0,0,0,0,0,0
368E0406-405D-4A68-8FED-22B148C0844D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A7599135-E4D3-432B-A6DE-ED4AB63DF3CB,3724,0,205,730,0,0,0,579,2000,0,0,0,0,0,210,0,0,0,0,0,0,0,0
166AEC33-AECE-48D7-AC95-209E680A7B83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B5CD54A-B184-4619-B567-7D30160C477F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8DBDFF5B-0B85-4B7A-9073-B0DA2CE1712B,339,0,0,139,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
82C77087-B81E-4DB5-A5DF-777D96B7340B,523,0,0,0,0,0,0,2729,2000,294,-4500,0,0,0,0,0,0,0,0,0,0,0,0
56AF1620-B037-4CAD-99BA-BC3DE63203BE,12444,0,0,1440,0,5000,0,3004,2000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0
E60EB1EE-CCAC-437F-B0E3-9CE7D2B6427F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0
7205BE89-AD7A-48FE-9D41-B95913224482,445,0,0,0,0,0,0,0,0,2945,-3000,0,0,0,500,0,0,0,0,0,0,0,0
02F4E6A2-7EA4-45D9-B026-001A502A4341,3522,0,250,865,0,5000,25,2925,2000,507,-8500,0,0,0,450,0,0,0,0,0,0,0,0
CA8AA953-9A6B-4AAE-BC59-E19F36D7EDE8,1115,0,0,0,0,0,0,0,0,835,0,0,0,0,280,0,0,0,0,0,0,0,0
5C19B936-7CCF-4861-8B1C-7FB97EBD635D,810,0,0,0,0,0,0,0,0,560,0,0,0,0,250,0,0,0,0,0,0,0,0
6DB727EF-C1E9-48EB-8ACD-1FA295D106EA,350,0,0,0,0,0,0,0,0,100,0,0,0,0,250,0,0,0,0,0,0,0,0
9556418A-E47B-47DA-B9CC-152C28A2FCA7,600,0,0,0,0,0,0,0,0,100,0,0,0,0,500,0,0,0,0,0,0,0,0
FF1B59AF-663E-4D9B-A182-E44BF01BEF9A,113,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BA7B96-F5C8-4F11-8FD2-88C418961BF1,5830,0,0,0,0,0,0,5180,2000,150,-1500,0,0,0,0,0,0,0,0,0,0,0,0
415F1DCC-4E33-4CB9-9405-7B9EDE46B276,852,0,0,0,0,0,0,0,0,852,-500,0,0,0,500,0,0,0,0,0,0,0,0
D433CD83-F5F7-4271-B5BE-02B05241DE24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6DCBB48-6449-4586-AD5D-7CE71847E687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC774A2-2556-4F52-A792-BD609EFC045A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9179050A-ECD5-4EDF-87DB-A4C76C17065C,2834,0,1073,1171,0,0,0,0,0,25,0,0,0,0,500,0,50,0,0,0,0,0,0
6B16A899-0AD3-4FC1-9942-A585847F7A1E,3882,0,3,220,0,0,0,659,2000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0
C1D64736-A440-449F-B44A-1309ECC1F176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
