AccountHistoryTypeID,Name,Descr
1,Enrolled,Enrolled
2,Register target customer,Register target customer
3,Customer re-enrolled,Customer re-enrolled
7,Point Balance Inquiry,Point Balance Inquiry/Dispute
8,Order inquiry,Order inquiry
9,Account inquiry,Account inquiry
10,Name and/or address change,Name and/or address change
11,Non-program Questions,Non-program Questions
13,Account locked,Account locked
14,Hostile phone call,Hostile phone call
17,Domestic dispute,Domestic dispute
18,Customer Comment,Customer Comment
19,Redemption questions,Redemption questions
20,Other (Notes in comments,Other (Notes in comments)
21,Survey completed,Survey completed
23,Canceled order with pending status,Canceled order with pending status
24,Return requested - damaged,Return requested - damaged
25,Return requested - defec,Return requested - defective
26,Return requested - dissatisfied,Return requested - dissatisfied
27,Return Canceled,Return Canceled
28,Customer never received order,Customer never received order
31,Point adjustment,Point adjustment
34,Issued order trace,Issued order trace
36,No proof of delivery,No proof of delivery
39,Trace canceled,Trace canceled
40,Issued order tag,Issued order tag
43,Point transfer,Point transfer
45,Account unlocked,Account unlocked
46,Canceled  customer enrollment,Canceled  customer enrollment
47,Order placed,Order placed
48,Registered Customer into Database (not enrolled),Registered Customer into Database (not enrolled)
49,ReIssue,ReIssue
51,Customer Complaint,Customer Complaint
56,Cancel order with pending status,Cancel order with pending status
57,New Shipping Address Entered for Order,New Shipping Address Entered for Order
58,Me Too Referral,Me Too Referral
59,Consolidate Accounts,Consolidate Accounts
60,Alternate Shipping Address Specified For Order,Alternate Shipping Address Specified For Order
61,Invalid shipping address entered per system check,Invalid shipping address entered per system check
62,Point Insertion,Point Insertion
64,Customer changed password,Customer changed password
66,Return requested on Item Maintenance,Return requested on Item Maintenance
67,The Customer Placed a Bid,The Customer Placed a Bid
68,The Customer was Outbid,The Customer was Outbid
69,User had a bid deleted,User had a bid deleted
70,Auction Closing within 24 hours notification sent,Auction Closing within 24 hours notification sent
71,Access Denied to Custome,Access Denied to Customer Web
72,Issue Resolved,Issue Resolved
73,Follow up communication,CF - A follow up communication was requested
74,Customer Service Email Sent,Customer Service Email Sent
77,Item Shipped,Item Shipped
79,Returned Items received,Returned Items received
99,Customer Service Customer Information Update,A customer has had his/her contact information  updated via the contact center
100,Login unlocked,The Customer login was unlocked
101,Login locked,The Customer login was locked due to failed login attempts
106,Survey was completed,Survey was completed
107,Survey was passed,Survey was passed
108,Survey was passed,Survey was passed
113,Reset,Reset
120,BNS Presidents Escalate D2D,BNS – Presidents Office Escalation D2D
121,BNS Presidents Escalate VISA,BNS – Presidents Office Escalation VISA
122,BNS Bonus D2D,BNS – Bonus D2D
123,BNS POS D2D,BNS – POS D2D
124,VISA Bonus,VISA – Bonus
125,VISA POS,VISA – POS
130,Return,Return
131,Customer Email Changed,Customer Email Changed
132,Customer Card Number Changed,"Customer Card Number Changed, Re-issued, Replaced"
133,Call Back To Cardmember,CF – Call Back To Cardmember
134,Customer Complaint,CF - Customer Complaint 
135,Escalation,CF – Escalation
136,Point Dispute,CF – Point Dispute
137,Research To Resolve,CF - Research Required To Resolve Issue
138,Customer SVC Gesture,CF – Customer SVC Gesture
139,Fulfillment Inquiry,CF – Fulfillment Inquiry
140,Password Reset,CF – Password Reset
141,Waiting Scotia Response,CF - Waiting on Scotiabank Response
142,Waiting Cineplex Respons,CF - Waiting on Cineplex Response
143,Program Inquiry,Program Inquiry
144,Email Declined,Email Declined
145,Card Delivery Inquiry +,CF - Card Delivery Inquiry (+10 Days)
146,Forgotten User Password,Forgotten User Name and/or Password
147,General Complaint,General Complaint
148,Marketing Promo Inquiry,Marketing Promotion Inquiry
149,Outbound Call,Outbound Call
150,Reward Inquiry,Reward Inquiry
151,Transfer to BNS,Transfer to BNS (Scotia) Call Centre
152,Transfer to Cineplex,Transfer to CE (Cineplex) Call Centre
153,Replacement SCENE Card,Replacement SCENE Card
154,Re-issue Temp SCENE Card,Re-issue Temporary SCENE Card
155,Stop Communications,Stop Communications Request
156,Program Removal Request,Program Removal Request
157,Customer Call Back,Customer Call Back
158,BNS Acquisition Adjust,BNS – Acquisition Adjustment
159,BNS Interac Down,BNS – Interac Down (SCENE ScotiaCard)
160,BNS Other,BNS – Other (notes in comments)
161,BNS Presidents Escalate,BNS – Presidents Office Escalation
162,BNS Scotia Joint Account,BNS – Scotiabank Joint Account Points (bonus point
163,BNS ScotiaCard Linking,BNS – ScotiaCard Linking Points
164,BNS Scotia PAD-PAC-Pay,BNS – ScotiaCard PAD-PAC-Payroll Points
165,CE Head Office Escalate,CE - Head Office Escalation
166,CE Points Adjust Ticket,CE - Points Adjustment (Child Tickets Missing)
167,CE Points Adjustment POS,CE - Points Adjustment (POS Error)
168,CE Customer Experience,CE - Customer Experience Complaint
169,CE Other,CE - Other (notes in comments)
170,CE SCENE Enroll Points,CE - SCENE Enrollment Points 
171,S - Other,SCENE -  Other (notes in comments)
172,S - Prevent Attritition,SCENE -  Prevent Member Attrition
173,Transfer to SCENE,Transfer to SCENE (Maritz) Call Centre
174,Card Delivery Inquiry -,Card Delivery Inquiry (-10 Days)
176,BNS Account Linked,The SCENE account has been linked to a BNS account
178,BNS Account Requested,BNS Account Open Request Sent
179,BNS Account Opened Approved,BNS Account Open Approved
181,BNS Account Open Rejected,BNS Account Open Rejected
182,SCENE Survey Completion ,SCENE Survey Completion Bonus
183,SCENE Offer Sent,SCENE Offer Sent
184,SCENE Offer Accepted,SCENE Offer Accepted
186,Refer a Friend Completed,The Refer a Friend form has been completed
188,BNS VISA Requested,BNS VISA Open Request sent to VISA site
189,BNS VISA Opened Approved,BNS VISA Open Approved
190,BNS VISA Open Rejected,BNS VISA Open Rejected
192,Scene Communication,Scene Communication
193,SCENE Promotions,SCENE Promotions
194,Profile Completion Points,Profile Completion Points
195,Account deactivated,Account deactivated
196,Merge Accounts,Merge Accounts
200,BNS Account Delinked,The SCENE account has been delinked from the BNS account
201,Linking Customer Account,Linking Customer Accounts
202,Auto-Enrollment Issue,Auto-Enrollment Issue
203,BNS Other D2D,BNS – Other D2D (notes in comments)
204,BNS Other VISA,BNS – Other VISA (notes in comments)
205,Points Already Issued Te,Points Already Issued Template Sent
206,Cineplex Promotions,Cineplex Promotions
207,CF - Orphaned Account,CF - Orphaned Account
208,Orphaned Account Inquiry,Orphaned Account Inquiry
209,Customer Email Confirmed,Customer Email Confirmed
