unique_member_identifier,OrderID,points,OrderDt
D46C5D48-C823-4DFF-AE26-596AAA86A64A,293817,10000,2016-06-13 10:30:00
D46C5D48-C823-4DFF-AE26-596AAA86A64A,308720,2500,2016-12-05 19:33:00
D46C5D48-C823-4DFF-AE26-596AAA86A64A,312848,2500,2017-02-13 20:12:00
D46C5D48-C823-4DFF-AE26-596AAA86A64A,320516,5000,2017-08-19 11:09:00
D46C5D48-C823-4DFF-AE26-596AAA86A64A,298430,5000,2016-07-31 18:17:00
D46C5D48-C823-4DFF-AE26-596AAA86A64A,305546,2500,2016-11-08 20:08:00
D46C5D48-C823-4DFF-AE26-596AAA86A64A,292140,5000,2016-05-17 18:19:00
3C505CDF-5CF1-40F8-9B72-AB3C09A0DEE4,318597,2500,2017-07-01 18:11:00
BFA406CD-7743-4264-A6E9-C04C16074695,319790,10000,2017-08-01 14:28:00
BFA406CD-7743-4264-A6E9-C04C16074695,320499,5000,2017-08-18 19:16:00
BFA406CD-7743-4264-A6E9-C04C16074695,289373,5000,2016-04-11 17:01:00
9FD9D2E0-819C-497F-8420-BB346BD59205,296746,2500,2016-07-12 23:27:00
B7CBB4E6-888D-414C-B61F-2524E0FBB276,301161,2500,2016-09-04 16:10:00
25D43843-DD9A-43EF-8810-89BF3CD09E95,289566,2500,2016-04-15 07:37:00
25D43843-DD9A-43EF-8810-89BF3CD09E95,305275,10000,2016-11-05 11:37:00
25D43843-DD9A-43EF-8810-89BF3CD09E95,289566,2500,2016-04-15 07:37:00
E29AFF55-7921-492F-833D-FFA3BFAC3BD5,308319,5000,2016-12-02 17:30:00
E29AFF55-7921-492F-833D-FFA3BFAC3BD5,292882,5000,2016-05-28 21:04:00
D4D547B3-97C4-46BB-AE95-B3453A14F2BC,312483,5000,2017-02-07 11:38:00
D4D547B3-97C4-46BB-AE95-B3453A14F2BC,312483,5000,2017-02-07 11:38:00
D4D547B3-97C4-46BB-AE95-B3453A14F2BC,317028,2500,2017-05-22 15:43:00
D4D547B3-97C4-46BB-AE95-B3453A14F2BC,317028,5000,2017-05-22 15:43:00
D4D547B3-97C4-46BB-AE95-B3453A14F2BC,322885,10000,2017-10-12 14:56:00
9527ED73-EAAE-48EC-B456-7EEAF7969FF0,301893,5000,2016-09-16 13:36:00
63E75EB7-1CE9-44A0-B3EE-1B38CF5B8C25,300261,2500,2016-08-21 10:44:00
4BEEA12B-52E6-4B21-91EB-53A12248EE77,310506,2500,2016-12-28 12:36:00
E5667A5E-238F-4AAF-A8EA-9D765798C3A0,293759,5000,2016-06-12 10:55:00
F2F1351A-BF33-47D0-B581-915A44C505B6,323346,5000,2017-10-25 12:28:00
401246E2-67A0-45C2-ACE9-F11D182F9ED3,288694,2500,2016-04-01 21:49:00
92AF9138-695D-4DC2-936E-E7DF0F51C21C,286299,10000,2016-02-22 21:25:00
042F8D9F-C843-42B2-84BE-D0A6AA2A9DC3,284238,2500,2016-01-09 21:49:00
91582D82-FF29-44E2-97BC-5918C30FB022,323049,5000,2017-10-16 13:39:00
DE9E2607-45B8-4FF7-BD0E-EC56B9E719EC,305938,5000,2016-11-12 15:56:00
DE9E2607-45B8-4FF7-BD0E-EC56B9E719EC,310047,2500,2016-12-20 23:36:00
0EED1C35-4E14-4FCF-A0AB-9E158489A127,295952,2500,2016-07-04 08:48:00
790B7408-41E2-4B69-AF44-A76580756DFC,296252,5000,2016-07-07 14:19:00
790B7408-41E2-4B69-AF44-A76580756DFC,296252,5000,2016-07-07 14:19:00
790B7408-41E2-4B69-AF44-A76580756DFC,296252,5000,2016-07-07 14:19:00
9387F96C-5840-4B44-9514-0D148A262A5D,322172,5000,2017-09-22 17:59:00
9387F96C-5840-4B44-9514-0D148A262A5D,322172,5000,2017-09-22 17:59:00
9387F96C-5840-4B44-9514-0D148A262A5D,289227,5000,2016-04-09 15:51:00
A425BAAD-866B-4F05-8970-E585DCEF0F62,296101,5000,2016-07-05 18:52:00
4D601DF1-2A5C-4E97-91C9-1857D163FAA3,284939,2500,2016-01-25 14:08:00
4D601DF1-2A5C-4E97-91C9-1857D163FAA3,284257,5000,2016-01-10 14:45:00
3C7868C2-4F64-4AC7-9627-F2DE7715416F,309983,5000,2016-12-20 13:26:00
3C249F4A-BCDE-4ED2-878C-7BB5E8F7A4C9,316818,5000,2017-05-17 18:45:00
19A26D05-35DF-4333-9827-DF1681583E71,286356,2500,2016-02-24 15:39:00
19A26D05-35DF-4333-9827-DF1681583E71,288713,2500,2016-04-02 12:07:00
19A26D05-35DF-4333-9827-DF1681583E71,320863,2500,2017-08-26 16:17:00
3554909C-6C53-44CE-9FEA-2795578DA7BA,296646,2500,2016-07-11 16:11:00
F553325C-57A5-4B39-A63E-556EC7E39F6B,285219,5000,2016-01-31 18:00:00
F553325C-57A5-4B39-A63E-556EC7E39F6B,302063,5000,2016-09-18 18:23:00
E95A5C53-1EC6-4EDC-ACBD-F0DF4832EEF1,285366,5000,2016-02-04 18:50:00
7AB63F89-FEDF-4F29-9DE5-B298044F33F6,292756,2500,2016-05-27 08:22:00
EE0892F4-60B8-45A4-9447-D39BCED6868F,282703,5000,2015-12-18 20:51:00
05B37F6D-B2E4-4582-B26F-23957EFCDBEE,312476,2500,2017-02-06 19:26:00
B3DCAD6C-231D-43D0-9EE9-E42454513BB5,301947,2500,2016-09-17 10:00:00
A9816306-E85F-48A8-AAA3-5009C656BFF5,317208,2500,2017-05-29 14:38:00
A9816306-E85F-48A8-AAA3-5009C656BFF5,317208,5000,2017-05-29 14:38:00
6D587989-F73A-4C6B-9456-C5051FF45740,309015,2500,2016-12-08 17:59:00
4501ADF1-9CB8-4917-A412-E78F79F6C2B2,318867,5000,2017-07-08 20:34:00
4501ADF1-9CB8-4917-A412-E78F79F6C2B2,320144,2500,2017-08-09 17:10:00
FBF1D5CD-107D-4CF9-8CD9-BA955C66A638,306095,2500,2016-11-14 23:09:00
E05A11FF-1387-4447-BF2D-0326AF506D92,301504,5000,2016-09-10 07:31:00
E76FEC52-EB8D-458B-B3C6-123778DED2AA,292207,5000,2016-05-18 17:16:00
A8A298BA-75EE-4002-8071-76989CA7F742,315124,5000,2017-04-02 14:20:00
A8A298BA-75EE-4002-8071-76989CA7F742,322242,5000,2017-09-24 12:54:00
A8A298BA-75EE-4002-8071-76989CA7F742,314295,5000,2017-03-14 17:29:00
F4757E2F-713E-4CAD-B30A-1587C3C3ABC6,303352,2500,2016-10-08 11:23:00
F4757E2F-713E-4CAD-B30A-1587C3C3ABC6,283744,2500,2015-12-31 17:23:00
F4757E2F-713E-4CAD-B30A-1587C3C3ABC6,316906,2500,2017-05-19 13:08:00
F4757E2F-713E-4CAD-B30A-1587C3C3ABC6,302972,2500,2016-10-04 08:17:00
BBFAF02A-7A53-47D2-B4FB-489E6C44988C,316265,5000,2017-05-04 18:17:00
8F3C8E08-1B29-4D1C-833B-4DC4CDE64D39,295321,10000,2016-06-27 18:58:00
8F3C8E08-1B29-4D1C-833B-4DC4CDE64D39,295321,2500,2016-06-27 18:58:00
8F3C8E08-1B29-4D1C-833B-4DC4CDE64D39,289799,10000,2016-04-19 19:04:00
CF8B5046-C0EE-4262-9041-6715629C3550,320550,10000,2017-08-19 17:55:00
3B82F351-1B47-4A6E-85E9-ED3BF88EB606,282625,5000,2015-12-17 22:08:00
30FFC62C-312C-4B4E-8774-755469382713,315396,5000,2017-04-09 12:55:00
77F26E64-5B7F-4BAC-8060-AB684329F7D0,299313,5000,2016-08-10 15:44:00
95A1DDF6-89CC-4EC7-9706-BB218729B91B,319351,10000,2017-07-21 22:16:00
39C4B5ED-771E-48C4-A323-9B25AE431D1C,287527,2500,2016-03-15 03:07:00
2A2E11E4-58E8-4EFA-B635-4909B054A62A,322383,5000,2017-09-27 14:59:00
663C1017-9EFC-4A62-806C-B62963C6BA73,322865,2500,2017-10-11 19:07:00
75007121-1225-473F-AF2D-3DC022B60168,310127,2500,2016-12-21 19:50:00
BB0C374E-F5EF-4EDB-8871-B529D608C1CF,323653,5000,2017-11-01 12:43:00
BDB5DD1B-8709-4712-AECC-D47E13AB60BC,291175,5000,2016-05-11 16:36:00
391843E9-D07D-4333-B318-C94831B66EE1,300753,2500,2016-08-29 13:14:00
11190DA2-2CBC-4399-9AAA-3F8C0305D6A1,300735,5000,2016-08-29 00:19:00
F9D12324-6A88-46D0-8619-4EB0BFEFEB66,299540,5000,2016-08-12 17:15:00
F9D12324-6A88-46D0-8619-4EB0BFEFEB66,285121,5000,2016-01-29 18:03:00
F9D12324-6A88-46D0-8619-4EB0BFEFEB66,314568,5000,2017-03-19 18:00:00
69F51EB2-E054-4EE9-B1EE-D72BEB40F536,300752,10000,2016-08-29 13:07:00
2EC75DF0-04B9-4DFF-A2C9-92C0F0A96146,304465,5000,2016-10-25 00:42:00
2EC75DF0-04B9-4DFF-A2C9-92C0F0A96146,304466,2500,2016-10-25 00:54:00
EB15ED66-82E5-4D03-8ACA-0BC10139BED6,310905,2500,2017-01-05 14:48:00
EB15ED66-82E5-4D03-8ACA-0BC10139BED6,310905,2500,2017-01-05 14:48:00
5ED69CFA-A23E-4109-9F6D-332AD859FBCB,322440,2500,2017-09-29 02:03:00
AC20828B-078E-476F-8E29-DC7AEB4254C8,305429,10000,2016-11-07 13:05:00
8B8ED046-CAC2-42A8-88FE-228DBB5903DA,318799,10000,2017-07-07 17:33:00
8B8ED046-CAC2-42A8-88FE-228DBB5903DA,304335,5000,2016-10-22 17:25:00
8B8ED046-CAC2-42A8-88FE-228DBB5903DA,304333,10000,2016-10-22 17:03:00
955EFDED-2AB4-4A98-976B-292C4D85EC0C,289178,2500,2016-04-08 20:26:00
A3018D29-1FFF-4F57-B222-4895377C47CC,293835,2500,2016-06-13 15:18:00
A3018D29-1FFF-4F57-B222-4895377C47CC,293835,5000,2016-06-13 15:18:00
30A16A0E-ECA6-48B9-AC51-CC6CE05C71C8,317082,10000,2017-05-24 16:23:00
F9DE1871-4802-48CB-9AA1-2192B4934633,293836,10000,2016-06-13 15:26:00
F9DE1871-4802-48CB-9AA1-2192B4934633,293836,5000,2016-06-13 15:26:00
E34C54B1-1C88-470D-A3C4-C3BDC2C93216,309275,2500,2016-12-11 10:13:00
62DC941D-434E-4545-80C7-E818EB089508,308157,5000,2016-12-01 11:47:00
4729BDC5-551B-4FE8-80CB-43D5353E6CBC,313673,5000,2017-03-02 16:04:00
1747883A-163A-41A6-BC2B-C7C45B5968E2,293841,2500,2016-06-13 17:02:00
1747883A-163A-41A6-BC2B-C7C45B5968E2,293802,2500,2016-06-12 19:57:00
4FF63579-E1D3-43FA-B8E9-98B65A210451,310161,5000,2016-12-22 11:16:00
