LocationID,LocationCode,BrandCode,isCorporate,Name,Address,City,Province,PostalCode,OperatingStatus
-1,-1,SWI,FALSE,unknown,"","",unknown,"",Closed
1,660,COR,TRUE,Toast Cafe-Head Office        ,6303 Airport Road,Mississauga,Ontario,L4V 1R8,Closed
2,702,SWI,TRUE,SCTO -Sheppard/Willodale      ,Fairview Mall,Willowdale,Ontario,M2J 1V4,Closed
3,703,SWI,FALSE,"SCTO-Dixon Rd, Etobicoke      ",245 Dixon Rd,Etobicoke,Ontario,M9P 2M4,Closed
4,704,SWI,FALSE,"SCTO-Wilson Ave, North York   ",1591 Wilson Ave,North York,Ontario,M3L 1A5,Closed
5,705,SWI,FALSE,SCTO-Newmarket                ,6303 Airport Road,Mississauga,Ontario,L4V 1R8,Closed
6,707,SWI,FALSE,Glen Manor & Queen St. Toronto,2148 Queen St E,Toronto,Ontario,M4E 1E3,Active
7,708,SWI,FALSE,SCTO-Yonge Street             ,"",Toronto,Ontario,"",Closed
8,709,SWI,TRUE,"SCTO-Hurontario St, Brampton  ",10178 Hurontario St Unit 1,Brampton,Ontario,L6V 1A1,Closed
9,768,HAR,TRUE,Harvey's-Ultra Van            ,6303 Airport Road,Mississauga,Ontario,L4V 1R8,Inactive
10,1101,SWI,TRUE,"SC - 234 Bloor St. W., Tor    ",234 Bloor St  W,Toronto,Ontario,M5S 1T8,Closed
11,1102,SWI,TRUE,SC - 1415 Yonge St. Tor.      ,1415 Yonge St,Toronto,Ontario,M4T 1Y7,Closed
12,1103,SWI,FALSE,Yonge St - South of Gerrard   ,362 Yonge St,Toronto,Ontario,M5B 1S5,Active
13,1104,SWI,FALSE,Eglinton& Bellamy-Scarborough ,2990 Eglinton Ave E,Scarborough,Ontario,M1J 2E4,Active
14,1105,SWI,FALSE,Queenstown & Cent Pkway-Ham   ,735 Queenston Rd,Hamilton,Ontario,L8G 1A1,Active
15,1106,SWI,TRUE,SC-555 Simcoe St. S-Oshawa    ,555 Simcoe St S,Oshawa,Ontario,L1H 4K1,Closed
16,1107,SWI,FALSE,"SC - St. Albert Rd.,St. Albert",388 St  Albert Rd,St. Albert,Alberta,T8N 5N6,Closed
17,1108,SWI,TRUE,"SC-260 Dundas St, London      ",260 Dundas St,London,Ontario,N6A 1H3,Closed
18,1109,SWI,FALSE,ErinMillsPkwy& Battleford Miss,6430 Erin Mills Pkwy,Erin Mills,Ontario,L5N 3P3,Active
19,1110,SWI,FALSE,Division & Hwy 401 Kingston   ,85 Dalton Ave,Kingston,Ontario,K7K 6C2,Active
20,1111,SWI,FALSE,Bloor & Royal York/Subway Tor.,2955 Bloor St W,Etobicoke,Ontario,M8X 1B8,Active
21,1112,SWI,TRUE,SC-1113 Finch Ave - Downsview ,1113 Finch Ave W,North York,Ontario,M3J 2P7,Closed
22,1113,SWI,TRUE,SC-7240 Woodbine Ave - Markham,7240 Woodbine Ave,Markham,Ontario,L3R 1A4,Closed
23,1114,SWI,FALSE,SC-549 Kerr St N - Oakville   ,549 Kerr St,Oakville,Ontario,L6K 3C9,Closed
24,1115,SWI,FALSE,SC-1225 Dundas ST E - Miss    ,1225 Dundas St E,Mississauga,Ontario,L4Y 2C5,Closed
25,1116,SWI,FALSE,SC-269 Rexdale Blvd - Rexdale ,269 Rexdale Blvd,Etobicoke,Ontario,M9W 1P7,Closed
26,1117,SWI,FALSE,SC-269 Queen St E - Brampton  ,269 Queen St E,Brampton,Ontario,L6W 2C2,Closed
27,1118,SWI,TRUE,SC-1881 Leslie St - Don Mills ,1881 Leslie St,North York,Ontario,M3B 2M3,Closed
28,1119,SWI,FALSE,Univ.Ave/Weber St.Wtrloo.     ,267 Weber St N,Waterloo,Ontario,N2J 3H8,Active
29,1120,SWI,TRUE,SC-Boul Des Sourses Dollard   ,3550 Boul des Sources,Dollard-Des-Ormeaux,Quebec,H9B 1Z9,Closed
30,1121,SWI,TRUE,SC-2930 Carling Ave - Ottawa  ,2930 Carling Ave,Ottawa,Ontario,K2B 7J7,Closed
31,1122,SWI,FALSE,SC-Upper James St - Hamilton  ,1180 Upper James St,Hamilton,Ontario,L9C 3B1,Closed
32,1123,SWI,FALSE,SC-540 Montreal Rd - Ottawa   ,540 Montreal Rd,Ottawa,Ontario,K1K 0T9,Active
33,1124,SWI,TRUE,SC-4452 Sheppard Ave E - Scar ,4452 Sheppard Ave E,Scarborough,Ontario,M1S 1V2,Closed
34,1125,SWI,TRUE,SC-1208 Dundas St E - Whitby  ,1208 Dundas St E,Whitby,Ontario,L1N 2K5,Closed
35,1126,SWI,FALSE,Fairview&Guelph Line Burling. ,2422 Fairview St,Burlington,Ontario,L7R 2E4,Active
36,1127,SWI,TRUE,SC-1110 O'Conner Dr - Scar    ,1110 O'Connor Dr,East York,Ontario,M4B 3L4,Closed
37,1128,SWI,TRUE,"SC-950 Lawrence Ave.W., Tor   ",950 Lawrence Ave W,North York,Ontario,M6A 1C4,Closed
38,1129,SWI,FALSE,SC-6645 Tecumseh Rd - Wind    ,6645 Tecumseh Rd E,Windsor,Ontario,N8T 1E7,Closed
39,1130,SWI,FALSE,Marycroft & Hwy 7 Vaughan     ,205 Marycroft Ave Unit 14,Woodbridge,Ontario,L4L 5X8,Active
40,1131,SWI,FALSE,Yonge and SteelesRichmond Hill,180 Steeles Ave W,Thornhill,Ontario,L4J 2L1,Closed
41,1132,SWI,FALSE,Memorial Dr&28 St SE Calgary  ,2840 Memorial Dr SE,Calgary,Alberta,T2A 6L6,Active
42,1133,SWI,FALSE,Geneva & Carlton-St.Catherines,285 Geneva St,St. Catharines,Ontario,L2N 2E9,Active
43,1134,SWI,FALSE,SC-1141 Highbury Ave - London ,1141 Highbury Ave N,London,Ontario,N5Y 1A5,Active
44,1135,SWI,FALSE,"SC-1067 Wellington Rd., London",1067 Wellington Rd,London,Ontario,N6E 2H5,Active
45,1136,SWI,FALSE,Eglington and Redpath/Mt Pleas,181 Eglinton Ave E,Toronto,Ontario,M4P 1J4,Closed
46,1137,SWI,FALSE,Lawrence/Birchmont Scarborough,2130 Lawrence Ave E,Scarborough,Ontario,M1R 3A6,Closed
47,1138,SWI,TRUE,SC-1955 Boul St Martin - Laval,1955 Boul Saint-Martin O,Laval,Quebec,H7S 1N2,Closed
48,1139,SWI,FALSE,DorchesterRd and Lundy's Lane ,6666 Lundy's Lane,Niagara Falls,Ontario,L2G 1V5,Active
49,1140,SWI,FALSE,SC-1426 London Rd - Sarnia    ,1426 London Rd,Sarnia,Ontario,N7S 1P7,Closed
50,1141,SWI,FALSE,170 St & 107 Ave. Edmonton    ,17008 107 Ave NW,Edmonton,Alberta,T5S 1L8,Closed
51,1142,SWI,TRUE,Hwy 406 and Glendale St Cather,221 Glendale Ave Unit 60A,St. Catharines,Ontario,L2T 2K9,Closed
52,1143,SWI,FALSE,QEW/ErinMills/SheridanMallMiss,2155 Leanne Blvd,Mississauga,Ontario,L5K 2K8,Active
53,1144,SWI,FALSE,SC-9305 Lacordaire Blvd.      ,9305 Lacordaire Blvd.,St. Leonard,Quebec,"",Closed
54,1145,SWI,TRUE,SC-5605 TaschereauBrossardPQ  ,5605 Boul Taschereau,Brossard,Quebec,J4Z 1A3,Closed
55,1146,SWI,TRUE,SC-1910 Bank St - Ottawa      ,1910 Bank St.,Ottawa,Ontario,K1V 7Z8,Active
56,1147,SWI,TRUE,Bayfield /Cundles Barrie      ,397 Bayfield St,Barrie,Ontario,L4M 3C5,Active
57,1148,SWI,TRUE,SC-9999 Chemin Chambly        ,999 Ch de Chambly,Longueuil,Quebec,J4H 3Z8,Closed
58,1149,SWI,FALSE,SC-3462 Kempt Rd - Halifax NS ,3462 Kempt Rd,Halifax,Nova Scotia,B3K 4X7,Closed
59,1150,SWI,TRUE,SC-288 Bath Road - Kingston   ,1288 Bath Rd,Kingston,Ontario,K7M 4X3,Closed
60,1151,SWI,FALSE,"SC-500 Manning Rd, Windsor    ",500 Manning  Road,Windsor,Ontario,"",Closed
61,1152,SWI,FALSE,McKnight&EdmontonTrail Calgary,5010 4 St NE,Calgary,Alberta,T2K 5X8,Closed
62,1153,SWI,FALSE,Harvey & Burtch Kelowna       ,1475 Harvey Ave,Kelowna,British Columbia,V1Y 6E9,Closed
63,1154,SWI,FALSE,97 St & 51 Ave.Edmonton       ,5020 97 St NW,Edmonton,Alberta,T6E 5S1,Closed
64,1155,SWI,TRUE,MacLeod Trl & 90 Ave.Calgary  ,8900 MacLeod Trl SE,Calgary,Alberta,T2H 0M4,Active
65,1156,SWI,FALSE,Romeo & Ontario St - Stratford,684 Ontario St,Stratford,Ontario,N5A 3J7,Active
66,1157,SWI,FALSE,Woodlawn Rd W/Edingburgh Rd N ,138 Woodlawn Road West,Guelph,Ontario,N1H 1B2,Active
67,1158,SWI,FALSE,Hespeler &Bishop/South 401 Cam,510 Hespeler Rd,Cambridge,Ontario,N1R 6J7,Closed
68,1159,SWI,FALSE,SC-3078 Dougal Rd - Windsor   ,3078 Dougall Ave,Windsor,Ontario,N9E 1S4,Closed
69,1160,SWI,TRUE,"SC-Hamel Blvd,Ville Vanier PQ ",375 Boul Wilfrid-Hamel,Vanier,Quebec,G1M 2R7,Closed
70,1161,SWI,FALSE,Mem.Harbour Expressway ThunBay,1043 Memorial Ave,Thunder Bay,Ontario,P7B 4A4,Closed
71,1163,SWI,FALSE,"SC-155 York Blvd.,RichmondHill",155 York Blvd,Richmond Hill,Ontario,L4B 3B4,Closed
72,1164,SWI,FALSE,SC-Pembina Hwy: Manitoba      ,1140 Pembina Hwy,Winnipeg,Manitoba,"",Closed
73,1165,SWI,TRUE,"SC-Hwy 401 & 28, Port Hope    ",464 Ontario St,Port Hope,Ontario,L1A 3Z3,Closed
74,1166,SWI,FALSE,NE Corner Besides Harvey's Mar,5284 Hwy 7,Markham,Ontario,L3P 1B9,Closed
75,1167,SWI,FALSE,SC-5165 Dixie Rd - Mississauga,5165 Dixie Rd,Mississauga,Ontario,L4W 4G1,Active
76,1168,SWI,FALSE,SouthFraserWay&TretheweyAbbots,32470 South Fraser Way,Abbotsford,British Columbia,V2T 1X3,Closed
77,1169,SWI,TRUE,"SC-39 King George Rd,Brantford",39 King George Rd,Brantford,Ontario,N3R 5K2,Closed
78,1170,SWI,TRUE,"SC - North Road, Burnaby, BC  ",4501 North Road,Burnaby,British Columbia,V3N 4R1,Closed
79,1171,SWI,FALSE,"SC-9625 Yonge St,Richmond Hill",9625 Yonge St,Richmond Hill,Ontario,L4C 5T2,Closed
80,1172,SWI,TRUE,"SC-Decarie Blvd, St.Laurent PQ",1120 Rue Decarie,Saint-Laurent,Quebec,H4L 3M9,Closed
81,1173,SWI,FALSE,Bloor &Sherbourne/HuntleyTor. ,345 Bloor St E Unit 20,Toronto,Ontario,M4W 3J6,Closed
82,1174,SWI,FALSE,SC-6160 Cote des Neiges       ,6160 Cote Des Neiges,Montreal,Quebec,"",Closed
83,1175,SWI,FALSE,"SC-1349 La Salle Blvd, Sudbury",1349 LaSalle Blvd,Sudbury,Ontario,P3A 1Z2,Closed
84,1176,SWI,FALSE,"SC-Douglas St -Victoria, BC   ",3233 Douglas St,Victoria,British Columbia,V8Z 3K8,Active
85,1177,SWI,FALSE,SC-4976 98th Ave - Edmonton   ,4976 98 Ave NW,Edmonton,Alberta,T6B 2Y7,Closed
86,1178,SWI,FALSE,Goodfellow Rd/Lansdowne Ave W ,933 Lansdowne St W,Peterborough,Ontario,K9J 1Z5,Active
87,1179,SWI,TRUE,"SC-909 Albert St, Regina Sask.",909 Albert St,Regina,Saskatchewan,S4R 2P6,Closed
88,1180,SWI,FALSE,97 St & 132 Ave Edmonton      ,10010 132 Ave NW,Edmonton,Alberta,T5E 6J4,Closed
