Unique_member_identifier,AccountOpenKey,AccountCloseKey,isAutoEnrolled,Birthdate,loadtime,EnrollmentSourceKey,isBNS,isVCL,isPrePaid
565C35D2-3DB4-4FFA-BF92-66AB07B38EB9,20170801,21000101,FALSE,1993-04-28 00:00:00,2017-08-01 16:55:01,19,FALSE,FALSE,FALSE
7BCBB8DE-0B58-4134-9E81-FA4E5A1F770D,20170801,21000101,FALSE,1977-12-20 00:00:00,2017-08-01 22:55:00,26,FALSE,FALSE,FALSE
4DADFB1D-3DEA-4F73-835B-6B4D5F02091B,20170802,21000101,TRUE,1971-12-10 00:00:00,2017-08-03 01:27:10,13,TRUE,FALSE,FALSE
C3DCC6B7-1950-49D1-A06B-FFD09DCAB8F3,20170802,21000101,TRUE,1995-01-02 00:00:00,2017-09-13 01:42:11,13,TRUE,TRUE,FALSE
BDB5A4B4-9346-465A-B774-0DC0387C978D,20170802,21000101,FALSE,1981-09-17 00:00:00,2017-09-09 01:34:10,4,FALSE,FALSE,FALSE
EE738808-E2EA-4CF7-B987-FD00DA055161,20170803,21000101,TRUE,1978-09-28 00:00:00,2017-08-04 01:28:50,13,TRUE,FALSE,FALSE
AFAEAE0D-E51A-44C5-AF05-7BA373CC02E2,20170803,21000101,TRUE,2000-02-03 00:00:00,2017-08-04 01:28:50,13,TRUE,FALSE,FALSE
06C5960A-9470-4F8C-89CE-3C3E07F7A3DA,20170803,21000101,TRUE,1984-12-03 00:00:00,2017-08-04 01:28:50,13,TRUE,FALSE,FALSE
A07F76AF-B75D-414A-B912-5BAA1BA23718,20170803,21000101,TRUE,1997-02-24 00:00:00,2017-09-19 02:34:05,13,TRUE,TRUE,FALSE
3DBFDD67-DEA4-4CE5-9A9F-CF73FC92A12E,20170803,21000101,FALSE,1989-09-13 00:00:00,2017-08-03 13:55:00,4,FALSE,FALSE,FALSE
9FA7D7F1-A405-442E-AB49-46A635E5BE55,20170803,21000101,FALSE,1968-03-01 00:00:00,2017-08-03 14:55:01,19,FALSE,FALSE,FALSE
81185EEC-0808-43A1-9811-7ABFE44FA979,20170803,21000101,FALSE,1988-04-21 00:00:00,2017-08-03 19:55:00,4,FALSE,FALSE,FALSE
9925205F-CC52-4778-97C7-A361E0036F48,20170804,21000101,TRUE,1995-01-05 00:00:00,2017-08-05 01:39:19,13,TRUE,FALSE,FALSE
A43C216B-51AF-430B-8AA0-72A3C0241DF4,20170804,21000101,FALSE,1993-04-22 00:00:00,2017-08-04 10:55:00,26,FALSE,FALSE,FALSE
EF528268-0A46-4D4D-AC96-1461B87C1F0D,20170805,21000101,TRUE,1994-01-27 00:00:00,2017-08-06 02:17:41,13,TRUE,FALSE,FALSE
EEDECC0E-366E-4129-AEAF-3F07979BCED6,20170716,21000101,FALSE,1986-02-14 00:00:00,2017-07-17 01:35:38,4,FALSE,FALSE,FALSE
7D6F1084-62B0-4921-B1E3-041B89F32F22,20170717,21000101,FALSE,2000-02-24 00:00:00,2017-08-10 01:24:23,4,FALSE,FALSE,FALSE
06A91D7A-3360-4640-995E-32DBFBB6115E,20170717,21000101,FALSE,1995-06-18 00:00:00,2017-07-17 23:55:00,4,FALSE,FALSE,FALSE
C8E1B62C-B529-4989-8635-5E26DDF10659,20170717,21000101,FALSE,1997-12-30 00:00:00,2017-07-17 23:55:00,19,FALSE,FALSE,FALSE
F8389974-18D2-4915-AFFB-E6D2C0A10B2D,20170718,21000101,FALSE,2002-04-23 00:00:00,2017-08-10 01:24:23,4,FALSE,FALSE,FALSE
D96F1832-3E6D-44DF-B1F6-C3418239498A,20170719,21000101,TRUE,1995-04-04 00:00:00,2017-08-02 05:07:05,13,TRUE,TRUE,FALSE
874A8287-9F1E-4ACE-B90A-8FF5ABFD05E4,20170720,21000101,FALSE,2003-07-11 00:00:00,2017-07-20 10:55:01,4,FALSE,FALSE,FALSE
FA5232F0-F9BD-4871-B5A6-D6003D208B83,20170706,21000101,FALSE,1996-07-27 00:00:00,2017-07-06 12:55:00,4,FALSE,FALSE,FALSE
96EF1969-FD9D-4E59-BB89-6A29092BA096,20170706,21000101,FALSE,1994-07-25 00:00:00,2017-07-06 16:55:00,4,FALSE,FALSE,FALSE
41B6EC30-8F65-44D9-91B0-89DA18C070A3,20170706,21000101,FALSE,1995-05-19 00:00:00,2017-07-06 19:55:00,19,FALSE,FALSE,FALSE
88CB3B63-E408-4A7A-8CB6-2C67F901461E,20170706,21000101,FALSE,1967-04-23 00:00:00,2017-07-06 19:55:00,26,FALSE,FALSE,FALSE
7848AEB7-7501-44E1-9684-7FA1BAF0DA76,20170706,21000101,FALSE,1977-07-23 00:00:00,2017-07-06 20:55:00,4,FALSE,FALSE,FALSE
AF0AB2FA-26DE-4B68-8553-551DDB415C3C,20170707,21000101,TRUE,1999-01-26 00:00:00,2017-07-08 01:32:29,13,TRUE,FALSE,FALSE
436B5A17-E222-4BEB-A384-238F8F92DA22,20170707,21000101,TRUE,1985-08-04 00:00:00,2017-07-08 01:32:29,13,TRUE,FALSE,FALSE
7C8A0192-FBA1-4410-A2EB-0F084139FED7,20170707,21000101,FALSE,2003-01-04 00:00:00,2017-07-07 10:55:00,4,FALSE,FALSE,FALSE
71E233F8-A81C-483D-8A38-FE0A3CB05251,20170707,21000101,FALSE,1971-01-30 00:00:00,2017-07-07 18:55:00,4,FALSE,FALSE,FALSE
7B75CD2D-9FBF-40F5-BFDC-DB8BCA5359B9,20170709,21000101,FALSE,1973-05-09 00:00:00,2017-07-09 17:55:00,4,FALSE,FALSE,FALSE
E79D1766-A2E9-46A7-9F13-654A3E658A53,20170710,21000101,FALSE,1983-06-14 00:00:00,2017-07-10 22:55:00,4,FALSE,FALSE,FALSE
3CA80EFA-54FB-4486-BBAF-182908745B44,20170711,21000101,TRUE,1986-02-16 00:00:00,2017-07-12 01:28:02,13,TRUE,FALSE,FALSE
A5BA977E-1F24-41C5-9783-B8D734230560,20170711,21000101,FALSE,1986-01-24 00:00:00,2017-07-11 10:55:00,4,FALSE,FALSE,FALSE
6B9C2803-CEBA-4617-AEE4-7F74A41B8AEE,20170711,21000101,FALSE,1988-07-14 00:00:00,2017-07-11 11:55:00,4,FALSE,FALSE,FALSE
3EC07935-F94A-4069-B03C-FCB7909D2226,20170723,21000101,TRUE,2002-03-23 00:00:00,2017-07-24 01:21:50,13,TRUE,FALSE,FALSE
EDB42603-1E28-4755-8D5E-5DEE75DDB907,20170725,21000101,TRUE,1986-01-12 00:00:00,2017-08-15 01:33:24,13,TRUE,TRUE,FALSE
10EAEF93-C215-4F85-86D4-F78F5BC2DFDB,20170725,21000101,TRUE,1964-03-27 00:00:00,2017-07-26 01:27:22,13,TRUE,FALSE,FALSE
272D040D-D238-4E17-838F-A48CBBF44C70,20170725,21000101,FALSE,1978-10-10 00:00:00,2017-07-25 13:55:01,19,FALSE,FALSE,FALSE
1D5B1BF6-4C9B-4954-AE49-62861CF51E73,20170725,21000101,FALSE,1991-12-10 00:00:00,2017-08-10 01:24:23,4,FALSE,FALSE,FALSE
93EB6A5A-0444-4C83-BF61-C89BD6F80FFB,20170726,21000101,TRUE,1998-08-25 00:00:00,2017-07-27 01:23:47,13,TRUE,FALSE,FALSE
3AAB586A-1A20-4252-B82E-3FFD787F75DE,20170619,21000101,FALSE,1996-08-02 00:00:00,2017-06-19 19:55:00,19,FALSE,FALSE,FALSE
5E4B2A8F-4536-4B3D-AC36-0A9AAE6530EA,20170619,21000101,FALSE,1995-08-02 00:00:00,2017-06-19 21:55:00,19,FALSE,FALSE,FALSE
91414978-E99B-4D0F-AA47-8CE4ACB12E09,20170621,21000101,FALSE,1983-10-24 00:00:00,2017-06-21 00:55:00,4,FALSE,FALSE,FALSE
5603CCB5-6A32-445F-AFD3-101867F5E559,20170621,21000101,TRUE,1969-02-24 00:00:00,2017-06-22 01:42:35,13,TRUE,FALSE,FALSE
0AD937F0-B1D9-4C13-BF54-84326A18F76A,20170621,21000101,TRUE,2001-12-27 00:00:00,2017-06-22 01:42:35,13,TRUE,FALSE,FALSE
