LocationCode,LocationName,Province,City,isActive
7248,Cineplex Odeon Ajax ,ON,Ajax,TRUE
7415,SilverCity Ancaster ,ON,Ancaster,TRUE
7284,Cineplex Odeon Aurora ,ON,Aurora,TRUE
7286,Cineplex Odeon Barrhaven ,ON,Barrhaven,TRUE
7249,Galaxy Cinemas Barrie,ON,Barrie,TRUE
9181,Cineplex Odeon Beauport ,QC,Beauport,TRUE
7409,Famous Players Belleville 8 ,ON,Belleville,TRUE
9112,Odeon Boucherville Drive-In,QC,Boucherville,TRUE
9203,Cineplex Odeon Boucherville,QC,Boucherville,TRUE
7412,Famous Players Gateway 6 ,ON,Brampton,TRUE
7250,Cineplex Odeon Orion Gate ,ON,Brampton,TRUE
7411,SilverCity Brampton ,ON,Brampton,TRUE
7100,Cineplex Odeon Brantford ,ON,Brantford,TRUE
7283,Galaxy Cinemas Brockville,ON,Brockville,TRUE
9185,Cineplex Odeon Brossard ,QC,Brossard,TRUE
7413,SilverCity Burlington ,ON,Burlington,TRUE
1408,SilverCity Metropolis ,BC,Burnaby,TRUE
1406,Famous Players Station Square ,BC,Burnaby,TRUE
3138,Cineplex Odeon Crowfoot Crossing ,AB,Calgary,TRUE
3134,Cineplex Odeon Eau Claire Market Cinemas,AB,Calgary,TRUE
3401,Scotiabank Theatre Chinook,AB,Calgary,TRUE
3142,Cineplex Odeon Sunridge Spectrum ,AB,Calgary,TRUE
3409,Famous Players Westhills 10 ,AB,Calgary,TRUE
7269,Galaxy Cinemas Cambridge,ON,Cambridge,TRUE
9175,Cineplex Odeon Châteauguay Encore Cinemas,QC,Chateauguay,FALSE
7241,Cineplex Odeon Clarington Place ,ON,Clarington,TRUE
1411,Famous Players Eagle Ridge ,BC,Coquitlam,FALSE
7262,Galaxy Cinemas Cornwall,ON,Cornwall,TRUE
9174,Cineplex Odeon Delson ,QC,Delson,FALSE
9173,Cineplex Odeon Dorion ,QC,Dorion,FALSE
3143,Cineplex Odeon North Edmonton Cinemas,AB,Edmonton,TRUE
3403,Scotiabank Theatre West Edmonton Mall,AB,Edmonton,TRUE
3144,Cineplex Odeon South Edmonton ,AB,Edmonton,TRUE
3116,Cineplex Odeon West Mall 8 ,AB,Edmonton,TRUE
7260,Cineplex Odeon Queensway ,ON,Etobicoke,TRUE
9171,Gatineau 9,QC,Gatineau,TRUE
7428,SilverCity Gloucester ,ON,Gloucester,TRUE
3141,Cineplex Odeon Grande Prairie ,AB,Grande Prairie,TRUE
7272,Galaxy Cinemas Guelph,ON,Guelph,TRUE
7238,Cineplex Odeon Upper James ,ON,Hamilton,TRUE
1137,Cineplex Odeon Aberdeen Mall ,BC,Kamloops,TRUE
1410,Famous Players Orchard Plaza 5 ,BC,Kelowna,TRUE
7259,Cineplex Odeon Gardiners Road ,ON,Kingston,TRUE
9407,Colisée Kirkland ,QC,Kirkland,TRUE
7127,Cineplex Odeon Fairway Centre ,ON,Kitchener,TRUE
9145,Cineplex Odeon Place LaSalle ,QC,La Salle,TRUE
1405,Colossus Langley ,BC,Langley,TRUE
9408,Colossus Laval ,QC,Laval,TRUE
3101,Galaxy Cinemas Lethbridge,AB,Lethbridge,TRUE
